problema,malha,tamanho_da_malha,numero_defeitos,LOC,cobertura_condicao,requisitos_cobertos_condicao,total_de_requistos_condicao,cobertura_decisao,requisitos_cobertos_decisao,total_de_requistos_decisao,cobertura_mcdc,requisitos_cobertos_mcdc,total_de_requistos_mcdc,numero_de_condicoes
Problem10,malha1,30,4,701,48,1131,2317,44,186,421,17,236,1369,5
Problem10,malha2,930,15,701,0,0,2317,0,0,421,0,0,1369,5
Problem10,malha3,27930,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,30,2,1186,47,1820,3866,46,273,588,17,398,2227,7
Problem11,malha2,930,12,1186,0,0,3866,0,0,588,0,0,2227,7
Problem11,malha3,27930,15,1186,62,2419,3866,62,370,588,32,722,2227,7
Problem12,malha1,30,0,5537,32,5073,15566,34,770,2254,9,826,8910,5
Problem12,malha2,930,6,5537,68,10612,15566,55,1261,2254,26,2364,8910,5
Problem12,malha3,27930,25,5537,86,13424,15566,88,1995,2254,59,5342,8910,5
Problem10,malha1,15,1,701,41,970,2317,39,166,421,14,192,1369,5
Problem10,malha2,435,15,701,72,1685,2317,68,290,421,40,554,1369,5
Problem10,malha3,12195,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,15,3,1186,51,2005,3866,51,303,588,22,501,2227,7
Problem11,malha2,435,11,1186,58,2274,3866,59,351,588,29,655,2227,7
Problem11,malha3,12195,15,1186,60,2340,3866,60,356,588,30,674,2227,7
Problem12,malha1,15,1,5537,52,8165,15566,42,957,2254,15,1340,8910,5
Problem12,malha2,435,5,5537,62,9765,15566,52,1189,2254,23,2108,8910,5
Problem12,malha3,12195,24,5537,77,12120,15566,71,1614,2254,41,3733,8910,5
Problem10,malha1,91,7,701,56,1299,2317,49,210,421,22,305,1369,5
Problem10,malha2,5642,15,701,77,1807,2317,77,328,421,51,703,1369,5
Problem10,malha3,344253,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,91,7,1186,44,1721,3866,44,263,588,16,377,2227,7
Problem11,malha2,5642,15,1186,62,2432,3866,62,370,588,32,725,2227,7
Problem11,malha3,344253,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,91,3,5537,45,7025,15566,36,830,2254,11,1006,8910,5
Problem12,malha2,5642,24,5537,86,13399,15566,87,1971,2254,58,5225,8910,5
Problem12,malha3,344253,25,5537,90,14155,15566,96,2179,2254,72,6484,8910,5
Problem10,malha1,13,1,701,35,819,2317,39,166,421,13,185,1369,5
Problem10,malha2,1040,14,701,75,1754,2317,74,314,421,46,636,1369,5
Problem10,malha3,82173,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,13,2,1186,25,983,3866,32,190,588,9,205,2227,7
Problem11,malha2,1040,12,1186,58,2275,3866,58,342,588,28,635,2227,7
Problem11,malha3,82173,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,13,1,5537,27,4319,15566,32,734,2254,8,763,8910,5
Problem12,malha2,1040,10,5537,72,11243,15566,62,1401,2254,32,2875,8910,5
