problema,malha,tamanho_da_malha,numero_defeitos,LOC,cobertura_condicao,requisitos_cobertos_condicao,total_de_requistos_condicao,cobertura_decisao,requisitos_cobertos_decisao,total_de_requistos_decisao,cobertura_mcdc,requisitos_cobertos_mcdc,total_de_requistos_mcdc,numero_de_condicoes
Problem1,malha1,47,0,619,29,762,2550,34,136,394,12,188,1472,7
Problem1,malha2,2115,6,619,46,1177,2550,52,208,394,30,450,1472,7
Problem1,malha3,95175,11,619,55,1415,2550,62,246,394,40,597,1472,7
Problem2,malha1,47,1,642,44,1081,2409,42,186,441,17,256,1425,6
Problem2,malha2,2115,7,642,59,1425,2409,57,253,441,32,466,1425,6
Problem2,malha3,95175,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,79,0,619,31,801,2550,37,146,394,14,217,1472,7
Problem1,malha2,1106,5,619,44,1143,2550,52,206,394,30,447,1472,7
Problem1,malha3,15484,7,619,50,1290,2550,57,226,394,35,518,1472,7
Problem2,malha1,79,2,642,46,1115,2409,45,200,441,20,299,1425,6
Problem2,malha2,1106,7,642,57,1397,2409,56,247,441,30,440,1425,6
Problem2,malha3,15484,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,29,0,619,27,701,2550,32,130,394,11,166,1472,7
Problem1,malha2,2842,6,619,45,1156,2550,52,208,394,30,454,1472,7
Problem1,malha3,278516,13,619,58,1490,2550,65,260,394,44,660,1472,7
Problem2,malha1,29,1,642,35,847,2409,40,179,441,15,222,1425,6
Problem2,malha2,2842,7,642,59,1436,2409,57,255,441,33,473,1425,6
Problem2,malha3,278516,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,33,0,619,29,745,2550,34,136,394,13,192,1472,7
Problem1,malha2,3168,5,619,45,1154,2550,51,204,394,30,443,1472,7
Problem1,malha3,304128,13,619,58,1488,2550,65,258,394,44,661,1472,7
Problem2,malha1,33,1,642,32,793,2409,40,178,441,15,217,1425,6
Problem2,malha2,3168,7,642,59,1438,2409,57,255,441,33,473,1425,6
Problem2,malha3,304128,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,70,0,619,30,770,2550,35,140,394,13,201,1472,7
Problem1,malha2,2870,6,619,50,1285,2550,54,216,394,32,484,1472,7
Problem1,malha3,117670,11,619,55,1414,2550,61,242,394,40,593,1472,7
Problem2,malha1,70,3,642,48,1180,2409,47,209,441,22,317,1425,6
Problem2,malha2,2870,7,642,59,1426,2409,57,253,441,32,465,1425,6
Problem2,malha3,117670,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,53,1,619,32,832,2550,36,144,394,15,221,1472,7
Problem1,malha2,4240,4,619,44,1141,2550,51,202,394,29,436,1472,7
Problem1,malha3,339200,13,619,58,1488,2550,65,260,394,44,662,1472,7
Problem2,malha1,53,1,642,38,934,2409,41,181,441,15,219,1425,6
Problem2,malha2,4240,7,642,59,1429,2409,57,253,441,32,468,1425,6
Problem2,malha3,339200,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,16,0,619,24,615,2550,31,126,394,10,156,1472,7
Problem1,malha2,224,0,619,38,976,2550,44,176,394,21,323,1472,7
Problem1,malha3,3136,3,619,43,1116,2550,50,198,394,28,424,1472,7
Problem2,malha1,16,0,642,33,811,2409,36,162,441,12,178,1425,6
Problem2,malha2,224,5,642,50,1227,2409,49,220,441,24,347,1425,6
Problem2,malha3,3136,7,642,59,1426,2409,56,251,441,32,458,1425,6
Problem1,malha1,22,0,619,26,671,2550,31,126,394,10,161,1472,7
Problem1,malha2,946,3,619,43,1103,2550,49,194,394,27,408,1472,7
Problem1,malha3,40678,11,619,51,1314,2550,59,236,394,37,551,1472,7
Problem2,malha1,22,2,642,39,963,2409,39,175,441,15,217,1425,6
Problem2,malha2,946,7,642,58,1404,2409,56,251,441,31,452,1425,6
Problem2,malha3,40678,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,44,0,619,29,740,2550,34,136,394,12,186,1472,7
Problem1,malha2,1144,3,619,43,1113,2550,50,198,394,29,427,1472,7
Problem1,malha3,29744,10,619,53,1358,2550,59,234,394,37,549,1472,7
Problem2,malha1,44,2,642,39,960,2409,42,189,441,17,254,1425,6
Problem2,malha2,1144,7,642,58,1398,2409,56,247,441,30,441,1425,6
Problem2,malha3,29744,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,25,0,619,24,613,2550,29,118,394,9,137,1472,7
Problem1,malha2,125,1,619,35,913,2550,42,166,394,19,282,1472,7
Problem1,malha3,625,3,619,42,1071,2550,48,190,394,25,377,1472,7
Problem2,malha1,25,0,642,36,889,2409,38,170,441,14,202,1425,6
Problem2,malha2,125,3,642,48,1159,2409,45,201,441,21,300,1425,6
Problem2,malha3,625,5,642,54,1324,2409,53,235,441,28,399,1425,6
Problem1,malha1,18,0,619,23,595,2550,29,118,394,9,141,1472,7
Problem1,malha2,1368,2,619,40,1043,2550,48,192,394,26,391,1472,7
Problem1,malha3,103968,12,619,57,1459,2550,63,250,394,42,620,1472,7
Problem2,malha1,18,0,642,32,776,2409,37,164,441,12,181,1425,6
Problem2,malha2,1368,7,642,57,1396,2409,55,245,441,30,436,1425,6
Problem2,malha3,103968,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,38,0,619,27,690,2550,32,130,394,11,174,1472,7
Problem1,malha2,3420,5,619,45,1155,2550,52,206,394,30,449,1472,7
Problem1,malha3,307800,13,619,58,1487,2550,65,260,394,44,660,1472,7
Problem2,malha1,38,0,642,33,815,2409,37,166,441,13,186,1425,6
Problem2,malha2,3420,7,642,59,1441,2409,57,255,441,33,474,1425,6
Problem2,malha3,307800,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,31,0,619,28,727,2550,32,130,394,11,166,1472,7
Problem1,malha2,0,0,619,0,2,2550,0,2,394,0,2,1472,7
Problem1,malha3,0,0,619,0,2,2550,0,2,394,0,2,1472,7
Problem2,malha1,31,1,642,43,1036,2409,40,178,441,15,224,1425,6
Problem2,malha2,0,0,642,0,2,2409,0,2,441,0,2,1425,6
Problem2,malha3,0,0,642,0,2,2409,0,2,441,0,2,1425,6
Problem1,malha1,34,1,619,31,792,2550,35,138,394,13,192,1472,7
Problem1,malha2,2244,3,619,44,1127,2550,50,200,394,29,428,1472,7
Problem1,malha3,148104,11,619,56,1449,2550,63,250,394,41,614,1472,7
Problem2,malha1,34,0,642,40,984,2409,41,181,441,15,223,1425,6
Problem2,malha2,2244,7,642,59,1422,2409,57,253,441,32,468,1425,6
Problem2,malha3,148104,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,63,0,619,28,738,2550,35,138,394,12,190,1472,7
Problem1,malha2,0,0,619,0,2,2550,0,2,394,0,2,1472,7
Problem1,malha3,0,0,619,0,2,2550,0,2,394,0,2,1472,7
Problem2,malha1,63,3,642,43,1039,2409,42,188,441,17,250,1425,6
Problem2,malha2,0,0,642,0,2,2409,0,2,441,0,2,1425,6
Problem2,malha3,0,0,642,0,2,2409,0,2,441,0,2,1425,6
Problem1,malha1,74,1,619,33,847,2550,36,144,394,14,218,1472,7
Problem1,malha2,2590,5,619,46,1187,2550,52,206,394,31,457,1472,7
Problem1,malha3,90650,10,619,54,1383,2550,60,238,394,38,566,1472,7
Problem2,malha1,74,2,642,45,1108,2409,46,203,441,20,297,1425,6
Problem2,malha2,2590,7,642,58,1415,2409,56,249,441,31,453,1425,6
Problem2,malha3,90650,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,26,0,619,23,611,2550,29,118,394,9,135,1472,7
Problem1,malha2,754,1,619,39,1012,2550,46,182,394,24,366,1472,7
Problem1,malha3,21866,9,619,52,1340,2550,58,232,394,36,539,1472,7
Problem2,malha1,26,1,642,33,810,2409,36,162,441,12,182,1425,6
Problem2,malha2,754,7,642,56,1359,2409,54,242,441,29,424,1425,6
Problem2,malha3,21866,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,84,1,619,33,854,2550,38,150,394,15,228,1472,7
Problem1,malha2,2268,2,619,41,1059,2550,48,192,394,27,400,1472,7
Problem1,malha3,61236,11,619,54,1396,2550,60,240,394,39,575,1472,7
Problem2,malha1,84,0,642,42,1017,2409,43,191,441,17,249,1425,6
Problem2,malha2,2268,7,642,58,1409,2409,56,249,441,31,451,1425,6
Problem2,malha3,61236,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,96,0,619,32,836,2550,38,152,394,16,240,1472,7
Problem1,malha2,2880,4,619,43,1103,2550,50,200,394,28,424,1472,7
Problem1,malha3,86400,11,619,55,1418,2550,61,242,394,40,601,1472,7
Problem2,malha1,96,4,642,46,1131,2409,45,199,441,20,290,1425,6
Problem2,malha2,2880,7,642,59,1427,2409,57,255,441,32,470,1425,6
Problem2,malha3,86400,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,66,0,619,31,810,2550,36,144,394,14,213,1472,7
Problem1,malha2,6006,8,619,49,1274,2550,56,224,394,35,518,1472,7
Problem1,malha3,546546,13,619,58,1503,2550,65,260,394,45,677,1472,7
Problem2,malha1,66,2,642,46,1131,2409,45,202,441,20,297,1425,6
Problem2,malha2,6006,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem2,malha3,546546,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,96,0,619,33,852,2550,39,154,394,16,250,1472,7
Problem1,malha2,9024,8,619,47,1218,2550,55,218,394,33,490,1472,7
Problem1,malha3,848256,13,619,58,1501,2550,65,260,394,46,681,1472,7
Problem2,malha1,96,2,642,45,1087,2409,43,193,441,18,268,1425,6
Problem2,malha2,9024,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem2,malha3,848256,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,1,0,619,8,218,2550,15,61,394,4,61,1472,7
Problem1,malha2,87,1,619,33,846,2550,37,148,394,15,224,1472,7
Problem1,malha3,7569,6,619,49,1262,2550,54,214,394,32,484,1472,7
Problem2,malha1,1,0,642,18,450,2409,32,144,441,10,144,1425,6
Problem2,malha2,87,6,642,51,1248,2409,49,218,441,24,343,1425,6
Problem2,malha3,7569,7,642,59,1442,2409,57,255,441,33,475,1425,6
Problem1,malha1,37,0,619,28,714,2550,33,132,394,11,173,1472,7
Problem1,malha2,185,0,619,34,870,2550,41,162,394,18,268,1472,7
Problem1,malha3,925,1,619,39,1009,2550,46,184,394,25,370,1472,7
Problem2,malha1,37,3,642,42,1018,2409,42,189,441,17,248,1425,6
Problem2,malha2,185,5,642,52,1254,2409,50,222,441,24,354,1425,6
Problem2,malha3,925,6,642,57,1392,2409,56,247,441,30,440,1425,6
Problem1,malha1,0,0,619,0,2,2550,0,2,394,0,2,1472,7
Problem1,malha2,0,0,619,0,2,2550,0,2,394,0,2,1472,7
Problem1,malha3,0,0,619,0,2,2550,0,2,394,0,2,1472,7
Problem2,malha1,0,0,642,0,2,2409,0,2,441,0,2,1425,6
