problema,malha,tamanho_da_malha,numero_defeitos,LOC,cobertura_condicao,requisitos_cobertos_condicao,total_de_requistos_condicao,cobertura_decisao,requisitos_cobertos_decisao,total_de_requistos_decisao,cobertura_mcdc,requisitos_cobertos_mcdc,total_de_requistos_mcdc,numero_de_condicoes
Problem10,malha1,472,13,701,71,1659,2317,68,288,421,39,546,1369,5
Problem10,malha2,9711,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem10,malha3,500859,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,472,12,1186,55,2159,3866,55,327,588,26,582,2227,7
Problem11,malha2,9711,15,1186,62,2433,3866,62,370,588,32,732,2227,7
Problem11,malha3,500859,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,472,6,5537,61,9616,15566,49,1117,2254,20,1851,8910,5
Problem12,malha2,9711,24,5537,89,13868,15566,93,2097,2254,66,5901,8910,5
Problem12,malha3,500859,25,5537,90,14155,15566,96,2179,2254,72,6484,8910,5
Problem10,malha1,537,10,701,73,1706,2317,69,292,421,41,570,1369,5
Problem10,malha2,17477,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem10,malha3,1344605,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,537,13,1186,56,2200,3866,57,336,588,28,625,2227,7
Problem11,malha2,17477,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem11,malha3,1344605,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,537,6,5537,63,9862,15566,51,1155,2254,22,1989,8910,5
Problem12,malha2,17477,25,5537,90,14037,15566,96,2165,2254,69,6222,8910,5
Problem12,malha3,1344605,25,5537,90,14155,15566,96,2179,2254,72,6484,8910,5
Problem10,malha1,581,0,701,75,1741,2317,73,308,421,44,612,1369,5
Problem10,malha2,2905,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem10,malha3,14525,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,581,13,1186,56,2200,3866,57,339,588,27,613,2227,7
Problem11,malha2,2905,15,1186,62,2425,3866,62,370,588,32,720,2227,7
Problem11,malha3,14525,15,1186,63,2443,3866,62,370,588,32,726,2227,7
Problem12,malha1,581,4,5537,64,9968,15566,51,1169,2254,23,2076,8910,5
Problem12,malha2,2905,18,5537,81,12758,15566,79,1787,2254,49,4440,8910,5
Problem12,malha3,14525,25,5537,89,13962,15566,95,2147,2254,68,6129,8910,5
Problem10,malha1,431,13,701,72,1679,2317,69,292,421,40,556,1369,5
Problem10,malha3,96975,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,431,10,1186,55,2162,3866,53,314,588,24,539,2227,7
Problem11,malha2,6465,15,1186,63,2439,3866,62,370,588,32,725,2227,7
Problem11,malha3,96975,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,431,7,5537,61,9523,15566,49,1126,2254,21,1906,8910,5
Problem12,malha2,6465,22,5537,87,13564,15566,89,2015,2254,61,5451,8910,5
Problem12,malha3,96975,25,5537,90,14146,15566,96,2179,2254,72,6466,8910,5
Problem10,malha1,0,0,701,0,1,2317,0,1,421,0,1,1369,5
Problem10,malha2,0,0,701,0,1,2317,0,1,421,0,1,1369,5
Problem10,malha3,0,0,701,0,1,2317,0,1,421,0,1,1369,5
Problem11,malha1,0,0,1186,0,1,3866,0,1,588,0,1,2227,7
Problem11,malha2,0,0,1186,0,1,3866,0,1,588,0,1,2227,7
Problem11,malha3,0,0,1186,0,1,3866,0,1,588,0,1,2227,7
Problem12,malha1,0,0,5537,0,1,15566,0,1,2254,0,1,8910,5
Problem12,malha2,0,0,5537,0,1,15566,0,1,2254,0,1,8910,5
Problem12,malha3,0,0,5537,0,1,15566,0,1,2254,0,1,8910,5
Problem10,malha1,257,7,701,66,1547,2317,58,246,421,30,412,1369,5
Problem10,malha2,9820,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem10,malha3,417224,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,257,10,1186,53,2062,3866,52,308,588,23,517,2227,7
Problem11,malha2,9820,15,1186,62,2432,3866,62,370,588,32,729,2227,7
Problem11,malha3,417224,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,257,1,5537,52,8146,15566,43,978,2254,15,1404,8910,5
Problem12,malha2,9820,22,5537,88,13755,15566,91,2067,2254,64,5778,8910,5
Problem12,malha3,417224,25,5537,90,14155,15566,96,2179,2254,72,6484,8910,5
Problem10,malha1,147,8,701,68,1589,2317,60,256,421,31,435,1369,5
Problem10,malha2,10136,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem10,malha3,822962,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,147,8,1186,51,1985,3866,48,286,588,20,446,2227,7
Problem11,malha2,10136,15,1186,63,2444,3866,62,370,588,32,730,2227,7
Problem11,malha3,822962,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,147,1,5537,48,7550,15566,40,904,2254,13,1192,8910,5
Problem12,malha2,10136,25,5537,88,13852,15566,93,2109,2254,66,5951,8910,5
Problem12,malha3,822962,25,5537,90,14155,15566,96,2179,2254,72,6484,8910,5
Problem10,malha1,191,9,701,65,1516,2317,57,244,421,29,400,1369,5
Problem10,malha2,5709,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem10,malha3,385551,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,191,9,1186,45,1765,3866,46,271,588,18,420,2227,7
Problem11,malha2,5709,14,1186,62,2415,3866,62,366,588,31,711,2227,7
Problem11,malha3,385551,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,191,2,5537,49,7739,15566,40,922,2254,13,1241,8910,5
Problem12,malha2,5709,22,5537,85,13268,15566,86,1939,2254,57,5133,8910,5
Problem12,malha3,385551,25,5537,90,14155,15566,96,2179,2254,72,6484,8910,5
Problem10,malha1,87,6,701,62,1456,2317,53,224,421,25,350,1369,5
Problem10,malha2,8091,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem10,malha3,752463,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,87,8,1186,44,1703,3866,44,263,588,16,378,2227,7
Problem11,malha2,8091,15,1186,61,2387,3866,62,370,588,32,717,2227,7
Problem11,malha3,752463,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,87,3,5537,40,6342,15566,36,814,2254,10,975,8910,5
Problem12,malha2,8091,25,5537,87,13554,15566,90,2029,2254,62,5536,8910,5
Problem12,malha3,752463,25,5537,90,14155,15566,96,2179,2254,72,6484,8910,5
Problem10,malha1,24,4,701,39,926,2317,41,174,421,15,207,1369,5
Problem10,malha2,1800,15,701,77,1805,2317,77,328,421,50,698,1369,5
Problem10,malha3,135000,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,24,4,1186,35,1363,3866,36,212,588,11,256,2227,7
Problem11,malha2,1800,14,1186,60,2351,3866,60,356,588,30,677,2227,7
Problem11,malha3,135000,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,24,1,5537,28,4505,15566,32,736,2254,8,784,8910,5
Problem12,malha2,1800,18,5537,79,12317,15566,73,1667,2254,43,3910,8910,5
Problem12,malha3,135000,25,5537,90,14151,15566,96,2179,2254,72,6474,8910,5
Problem10,malha1,21,1,701,43,1008,2317,40,172,421,14,202,1369,5
Problem10,malha2,1428,15,701,76,1784,2317,76,324,421,49,675,1369,5
Problem10,malha3,97104,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,21,4,1186,33,1309,3866,38,224,588,11,266,2227,7
Problem11,malha2,1428,14,1186,59,2317,3866,60,357,588,30,677,2227,7
Problem11,malha3,97104,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,21,1,5537,25,4039,15566,33,744,2254,8,787,8910,5
Problem12,malha2,1428,9,5537,73,11471,15566,66,1497,2254,36,3255,8910,5
Problem12,malha3,97104,25,5537,90,14150,15566,96,2179,2254,72,6472,8910,5
Problem10,malha1,81,5,701,55,1282,2317,48,206,421,21,296,1369,5
Problem10,malha2,5913,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem10,malha3,431649,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,81,4,1186,38,1506,3866,42,247,588,14,323,2227,7
Problem11,malha2,5913,15,1186,62,2434,3866,62,370,588,32,721,2227,7
Problem11,malha3,431649,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,81,2,5537,40,6249,15566,35,809,2254,10,954,8910,5
Problem12,malha2,5913,18,5537,85,13370,15566,87,1963,2254,58,5213,8910,5
Problem12,malha3,431649,25,5537,90,14155,15566,96,2179,2254,72,6484,8910,5
Problem10,malha1,89,6,701,60,1411,2317,52,222,421,25,345,1369,5
Problem10,malha2,2848,15,701,77,1801,2317,77,328,421,50,691,1369,5
Problem10,malha3,91136,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,89,6,1186,45,1771,3866,45,268,588,17,389,2227,7
Problem11,malha2,2848,15,1186,61,2373,3866,62,366,588,31,709,2227,7
Problem11,malha3,91136,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,89,1,5537,41,6495,15566,36,816,2254,11,987,8910,5
Problem12,malha2,2848,18,5537,81,12660,15566,77,1745,2254,47,4255,8910,5
Problem12,malha3,91136,25,5537,90,14155,15566,96,2179,2254,72,6478,8910,5
Problem10,malha1,6,0,701,28,664,2317,36,152,421,11,158,1369,5
Problem10,malha2,18,2,701,39,904,2317,41,174,421,15,209,1369,5
Problem10,malha3,54,4,701,58,1351,2317,50,212,421,21,294,1369,5
Problem11,malha1,6,1,1186,23,903,3866,32,194,588,9,204,2227,7
Problem11,malha2,18,3,1186,28,1116,3866,36,212,588,10,240,2227,7
Problem11,malha3,54,5,1186,38,1503,3866,41,242,588,14,322,2227,7
Problem12,malha1,6,0,5537,14,2184,15566,31,718,2254,8,723,8910,5
Problem12,malha2,18,0,5537,29,4606,15566,32,736,2254,8,762,8910,5
Problem12,malha3,54,1,5537,37,5860,15566,35,804,2254,10,910,8910,5
Problem10,malha1,91,6,701,62,1446,2317,53,226,421,25,353,1369,5
Problem10,malha2,455,13,701,73,1699,2317,69,294,421,40,560,1369,5
Problem10,malha3,2275,15,701,77,1803,2317,77,328,421,50,698,1369,5
Problem11,malha1,91,9,1186,43,1668,3866,45,269,588,17,390,2227,7
Problem11,malha2,455,12,1186,55,2155,3866,54,320,588,25,563,2227,7
Problem11,malha3,2275,14,1186,61,2369,3866,61,362,588,31,694,2227,7
Problem12,malha1,91,0,5537,40,6326,15566,36,816,2254,11,987,8910,5
Problem12,malha2,455,2,5537,61,9506,15566,50,1135,2254,21,1929,8910,5
Problem12,malha3,2275,17,5537,78,12144,15566,73,1652,2254,43,3839,8910,5
Problem10,malha1,19,1,701,37,875,2317,39,168,421,13,188,1369,5
Problem10,malha2,1444,15,701,77,1792,2317,77,326,421,50,690,1369,5
Problem10,malha3,109744,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,19,2,1186,27,1057,3866,34,202,588,9,218,2227,7
Problem11,malha2,1444,15,1186,60,2346,3866,61,359,588,30,689,2227,7
Problem11,malha3,109744,15,1186,63,2447,3866,62,370,588,32,732,2227,7
Problem12,malha1,19,0,5537,27,4204,15566,32,738,2254,8,771,8910,5
Problem12,malha2,1444,12,5537,75,11703,15566,66,1505,2254,36,3285,8910,5
Problem12,malha3,109744,25,5537,90,14155,15566,96,2179,2254,72,6479,8910,5
Problem10,malha1,0,0,701,0,2,2317,0,2,421,0,2,1369,5
Problem10,malha2,0,0,701,0,2,2317,0,2,421,0,2,1369,5
Problem10,malha3,0,0,701,0,2,2317,0,2,421,0,2,1369,5
Problem11,malha1,0,0,1186,0,2,3866,0,2,588,0,2,2227,7
Problem11,malha2,0,0,1186,0,2,3866,0,2,588,0,2,2227,7
Problem11,malha3,0,0,1186,0,2,3866,0,2,588,0,2,2227,7
Problem12,malha1,0,0,5537,0,2,15566,0,2,2254,0,2,8910,5
Problem12,malha2,0,0,5537,0,2,15566,0,2,2254,0,2,8910,5
Problem12,malha3,0,0,5537,0,2,15566,0,2,2254,0,2,8910,5
Problem10,malha1,65,5,701,51,1184,2317,47,198,421,20,277,1369,5
Problem10,malha2,260,10,701,69,1618,2317,64,270,421,35,482,1369,5
Problem10,malha3,1040,15,701,76,1771,2317,76,322,421,47,657,1369,5
Problem11,malha1,65,6,1186,42,1626,3866,42,247,588,15,343,2227,7
Problem11,malha2,260,9,1186,51,1983,3866,50,299,588,22,491,2227,7
Problem11,malha3,1040,13,1186,60,2333,3866,60,358,588,29,666,2227,7
Problem12,malha1,65,1,5537,36,5736,15566,37,834,2254,10,946,8910,5
Problem12,malha2,260,3,5537,58,9088,15566,44,1004,2254,16,1494,8910,5
Problem12,malha3,1040,12,5537,69,10784,15566,58,1321,2254,29,2611,8910,5
Problem10,malha1,24,4,701,48,1117,2317,43,182,421,16,226,1369,5
Problem10,malha2,648,13,701,75,1750,2317,73,308,421,44,614,1369,5
Problem10,malha3,17496,15,701,77,1807,2317,77,328,421,51,705,1369,5
Problem11,malha1,24,3,1186,33,1276,3866,38,224,588,12,268,2227,7
Problem11,malha2,648,13,1186,57,2212,3866,57,337,588,27,610,2227,7
Problem11,malha3,17496,15,1186,62,2433,3866,62,370,588,32,732,2227,7
Problem12,malha1,24,1,5537,31,4921,15566,34,785,2254,9,841,8910,5
Problem12,malha2,648,4,5537,66,10306,15566,54,1223,2254,25,2238,8910,5
Problem12,malha3,17496,25,5537,89,13978,15566,95,2151,2254,69,6164,8910,5
